replicon_primary,n_PSC,S_ARG,S_VF,S_MOB,S_HOST,S_REP,S_SIZE,S_BMG,S_GEO,S_HAB,S_GROW
IncX3,467,0.0000,0.0000,0.4200,0.8000,0.9000,0.6926,0.3300,0.0000,0.0000,0.0000
rep16/rep19/rep21,458,0.4362,0.0000,0.0946,0.8000,0.3000,0.6700,0.3700,0.0000,0.0000,0.0000
IncFII(Yp),451,0.0000,0.0000,0.5950,0.7800,0.9000,0.6455,0.0000,0.0000,0.0000,0.0000
Col440I/Col440II,433,0.0000,0.0000,0.4200,0.8000,0.5000,0.5611,0.0000,0.0000,0.0000,0.0000
repUS15,420,0.0000,0.3300,0.0762,0.8200,0.3000,0.6345,0.0000,0.0000,0.0000,0.1402
rep29,399,0.0000,0.0000,0.4200,0.8000,0.3000,0.6065,0.2900,0.0000,0.0000,0.0000
rep20/rep21,359,0.4362,0.0000,0.0992,0.8000,0.3000,0.6579,0.6000,0.0000,0.0000,0.0000
rep16,311,0.4362,0.0000,0.0977,0.8000,0.3000,0.6192,0.3300,0.0000,0.0000,0.0000
rep39,289,0.4362,0.0000,0.0975,0.5200,0.3000,0.6437,0.4800,0.0000,0.0000,0.0000
rep1,288,0.0000,0.0000,0.0999,0.8000,0.3000,0.6183,0.0000,0.0000,0.0833,0.1402
FIA(pBK30683),285,0.0000,0.0000,0.0900,0.8000,0.3000,0.6565,0.2900,0.0000,0.0000,0.0000
rep2,281,0.0000,0.0000,0.1186,0.8000,0.3000,0.6165,0.0000,0.0000,0.0000,0.0000
rep15,281,0.4362,0.0000,0.4353,0.8000,0.3000,0.6626,0.0000,0.0000,0.0000,0.0000
RepA,270,0.0000,0.0000,0.0794,0.7600,0.3000,0.6605,0.0000,0.0000,0.0000,0.0000
rep22,253,0.6913,0.0000,0.4303,0.8000,0.3000,0.5758,0.0000,0.0000,0.0000,0.0000
IncFII(pMET),253,0.0000,0.0000,0.0758,0.7200,0.9000,0.6747,0.3700,0.0000,0.0000,0.0000
rep19c,244,0.0000,0.0000,0.0944,0.4800,0.3000,0.6469,0.4100,0.0000,0.0000,0.0000
ColKP3,240,1.0000,0.0000,0.4200,0.8000,0.9000,0.5792,0.0000,0.0000,0.0000,0.0000
rep14a,239,0.0000,0.0000,0.0700,0.8000,0.3000,0.5167,0.0000,0.0000,0.0000,0.0000
rep11a,239,0.0000,0.0000,0.4200,0.8000,0.3000,0.5877,0.0000,0.0000,0.0000,0.0000
IncA/C2,238,0.0000,0.0000,0.0768,0.7600,0.9000,0.6691,0.0000,0.0000,0.0000,0.0000
IncFII/IncFII(pCoo),229,0.0000,0.0000,0.5950,0.7600,0.9000,0.6343,0.0000,0.0000,0.0000,0.0000
