id,replicon_primary,S_ARG,S_VF,S_MOB,S_HOST,S_REP,S_SIZE,S_BMG,S_GEO,S_HAB,S_GROW
60,,1.000000,0.000000,0.609776,0.800000,0.300000,0.771348,0.600000,0.227670,0.083333,0.140165
61,,0.000000,0.000000,0.595000,0.800000,0.300000,0.736893,0.000000,0.000000,0.000000,0.000000
62,,0.000000,0.000000,0.370000,0.480000,0.300000,0.469286,0.600000,0.227670,0.083333,0.140165
63,,0.000000,0.000000,0.895000,0.800000,0.300000,0.464316,0.600000,0.000000,0.000000,0.000000
64,,0.691284,0.630000,0.121524,0.920000,0.300000,0.745543,0.750000,0.866821,0.916667,0.702668
65,,1.000000,0.540000,0.120147,0.860000,0.300000,0.752258,0.750000,0.683011,0.500000,0.538768
66,,0.691284,0.510000,0.108428,0.840000,0.300000,0.769922,0.750000,0.000000,0.166667,0.223984
67,,0.000000,0.000000,0.117743,0.800000,0.300000,0.726198,0.750000,0.455340,0.416667,0.284318
68,,0.691284,0.540000,0.110235,0.860000,0.300000,0.769202,0.750000,0.816189,0.833333,0.853752
69,,0.872303,0.510000,0.125985,0.840000,0.300000,0.744950,0.750000,0.455340,0.083333,0.223984
70,,0.691284,0.660000,0.706435,0.900000,0.300000,0.727785,0.900000,1.000000,1.000000,1.000000
71,,0.000000,0.000000,0.071534,0.760000,0.300000,0.762548,0.000000,0.787610,0.666667,0.449863
72,,0.691284,0.630000,0.107469,0.920000,0.300000,0.766681,0.750000,1.000000,1.000000,0.809524
73,,1.000000,0.510000,0.111338,0.840000,0.300000,0.765078,0.750000,0.588519,0.500000,0.223984
74,,0.872303,0.630000,0.105514,0.920000,0.300000,0.775156,0.750000,0.639151,0.416667,0.481077
75,,0.000000,0.000000,0.420000,0.520000,0.300000,0.778935,0.290000,0.000000,0.000000,0.000000
76,,0.000000,0.000000,0.420000,0.520000,0.300000,0.778940,0.290000,0.000000,0.000000,0.000000
77,,0.000000,0.000000,0.420000,0.520000,0.300000,0.776601,0.290000,0.000000,0.000000,0.000000
78,,0.872303,0.000000,0.431346,0.720000,0.300000,0.748652,0.410000,0.360849,0.083333,0.223984
79,,0.000000,0.720000,0.104600,0.840000,0.300000,0.751153,0.330000,0.360849,0.166667,0.223984
80,,0.000000,0.750000,0.449915,0.860000,0.300000,0.735625,0.290000,0.639151,0.250000,0.538768
81,,0.000000,0.780000,0.445330,0.880000,0.300000,0.741352,0.290000,0.227670,0.083333,0.140165
82,,0.000000,0.570000,0.603335,0.840000,0.300000,0.742212,0.330000,0.889483,0.666667,0.702668
83,,0.000000,0.720000,0.105207,0.840000,0.300000,0.749998,0.330000,0.000000,0.000000,0.000000
84,,1.000000,0.330000,0.626478,0.820000,0.300000,0.750047,0.000000,0.588519,0.416667,0.370481
85,,0.524094,0.330000,0.096502,0.820000,0.300000,0.738352,0.570000,0.227670,0.000000,0.000000
86,,1.000000,0.000000,0.173920,0.800000,0.300000,0.755874,0.900000,0.930594,1.000000,0.786936
87,,0.872303,0.000000,0.518683,0.720000,0.300000,0.756218,0.750000,0.000000,0.000000,0.000000
88,,0.000000,0.000000,0.605040,0.800000,0.300000,0.775860,0.600000,0.000000,0.000000,0.000000
89,,0.872303,0.000000,0.173350,0.760000,0.300000,0.742190,0.520000,0.866821,0.666667,0.634754
90,,0.691284,0.360000,0.689069,0.800000,0.300000,0.763832,0.750000,0.227670,0.083333,0.000000
91,,0.000000,0.000000,0.070000,0.800000,0.300000,0.571762,0.000000,0.639151,0.416667,0.370481
92,,0.000000,0.000000,0.070000,0.800000,0.300000,0.572206,0.000000,0.683011,0.333333,0.570481
93,,0.000000,0.000000,0.070000,0.800000,0.300000,0.572313,0.000000,0.588519,0.333333,0.284318
94,,0.000000,0.330000,0.075501,0.540000,0.300000,0.723788,0.290000,0.000000,0.000000,0.000000
95,,0.000000,0.000000,0.073606,0.520000,0.300000,0.705823,0.000000,0.227670,0.083333,0.140165
96,,0.436151,0.000000,0.073140,0.520000,0.300000,0.714993,0.000000,0.639151,0.416667,0.584842
97,,0.000000,0.330000,0.075505,0.540000,0.300000,0.723742,0.290000,0.227670,0.166667,0.223984
98,,0.436151,0.000000,0.073174,0.520000,0.300000,0.714292,0.000000,0.000000,0.000000,0.000000
