replicon_primary,n,pct_integron,mean_is,is_density,pct_metal,mean_metal
IncN,1224,8.66013071895425,1.30147058823529,0.13124208301585,36.0294117647059,0.591503267973856
IncI1,4692,8.50383631713555,1.79880647911338,0.113800018246078,63.7041773231032,1.15430520034101
IncQ1,1576,8.05837563451777,0.854060913705584,0.093609498264887,59.9619289340102,1.32868020304569
IncR,2922,4.55167693360712,3.73271731690623,0.30207418971913,93.6002737850787,2.435318275154
IncFII(pSE11),1440,4.375,1.40833333333333,0.153343941197183,16.7361111111111,0.236111111111111
IncFIA(HI1),974,3.28542094455852,3.21149897330595,0.36526681053349,47.741273100616,0.909650924024641
IncB/O/K/Z,1416,2.75423728813559,1.3728813559322,0.125060215227167,26.8361581920904,0.49364406779661
IncFII,6072,2.5197628458498,1.56702898550725,0.141170815574481,25.3129117259552,0.62104743083004
IncFII(pRSB107),1254,2.15311004784689,1.33492822966507,0.128837634993744,21.6108452950558,0.413875598086124
IncFIC(FII),2034,1.86823992133727,1.62340216322517,0.136929369060177,17.6991150442478,0.428220255653884
IncX1,3485,1.77905308464849,1.21061692969871,0.108382402147967,70.5882352941177,1.53601147776184
IncFII(K),1811,1.65654334621756,2.31198233020431,0.158251781368467,20.2098288238542,0.545002760905577
IncFII(pHN7A8),1186,1.5177065767285,1.51686340640809,0.149090193691793,23.2715008431703,0.4106239460371
IncFII(pCoo),1624,1.41625615763547,1.34544334975369,0.149514462086321,17.6724137931035,0.371305418719212
IncX4,1715,1.10787172011662,0.275218658892128,0.0162128340226172,89.6793002915452,2.73877551020408
IncFII(29),1255,1.03585657370518,1.32430278884462,0.124744408414241,24.0637450199203,0.532270916334661
IncFIB(K),3292,0.789793438639125,3.28311057108141,0.243875377056204,16.6767922235723,0.585965978128797
ColRNAI,2943,0.747536527353041,0.531430513081889,0.0601470506523646,15.3584777437988,0.185864763846415
IncFIB(AP001918),4983,0.742524583584186,3.54886614489264,0.303088001416167,54.6658639373871,1.04455147501505
IncI2,953,0.209863588667366,0.29800629590766,0.0254696062172301,2.93809024134313,0.0388247639034628
Col440I,7342,0.204304004358485,0.265731408335603,0.0516775951395817,4.11332062108417,0.0715064015254699
Col156,3309,0.120882441825325,0.627984285282563,0.0654314574925864,9.70081595648232,0.130553037171351
IncFII(S),893,0.111982082866741,1.97872340425532,0.125390769677907,69.2049272116461,0.96976483762598
IncFIA,3377,0.0888362451880367,1.84809002072846,0.112375721130794,87.3260290198401,1.05270950547824
Col(MG828),2012,0,0.0193836978131213,0.00601851118414917,0.497017892644135,0.010934393638171
rep7a,1356,0,0.286873156342183,0.0521374255300436,7.22713864306785,0.123893805309735
rep16/rep5a,977,0,3.08393039918117,0.15012779724782,98.6693961105425,3.10542476970317
rep21,1287,0,0.356643356643357,0.08981110077819,30.0699300699301,0.423465423465423
rep16/rep19,1732,0,3.31177829099307,0.228720867232226,97.459584295612,2.87586605080831
rep20,1365,0,2.52380952380952,0.159290776254443,90.4761904761905,2.54139194139194
