replicon_primary,n,pct_mdr_vf,pct_res,pct_vf,mean_arg,mean_vf,mean_len,pct_conj,growth
rep20,1365,18.3882783882784,32.1611721611722,3.73626373626374,0.633699633699634,0.221245421245421,18.7102153846154,0,0.0218875457875458
IncI1,4692,8.99403239556692,30.9889173060529,19.7570332480818,0.752344416027281,0.304774083546462,22.0832679028133,1.12958226768968,0.0281345886615516
IncFII,6072,6.01119894598156,19.0217391304348,11.133069828722,0.513175230566535,0.203557312252964,14.9702084980237,35.3754940711463,0.0296332493412385
IncFII(pHN7A8),1186,2.78246205733558,14.1652613827993,17.6222596964587,0.355817875210793,0.241989881956155,14.9993372681282,50.5902192242833,0.0365714924114671
IncB/O/K/Z,1416,2.11864406779661,11.228813559322,19.3502824858757,0.290960451977401,0.261299435028249,16.7257471751412,1.55367231638418,0.0426182203389831
IncFII(pCoo),1624,1.66256157635468,15.948275862069,12.192118226601,0.341133004926108,0.160098522167488,14.6211600985222,44.5812807881773,0.0374306465517241
IncFIC(FII),2034,1.62241887905605,13.0776794493609,13.9626352015733,0.320058997050148,0.169616519174041,15.7181833824975,43.1661750245821,0.0300903539823009
IncFII(pRSB107),1254,1.35566188197767,18.341307814992,6.85805422647528,0.431419457735247,0.10207336523126,16.0947998405104,50.2392344497608,0.0296500558213716
IncFII(S),893,1.00783874580067,1.3437849944009,52.6315789473684,0.0291153415453527,0.80963045912654,21.3329339305711,42.441209406495,0.0365268197088466
IncFII(29),1255,0.956175298804781,17.7689243027888,9.56175298804781,0.473306772908367,0.118725099601594,16.4949250996016,45.8964143426295,0.0345306852589641
IncFIB(AP001918),4983,0.802729279550472,2.76941601444913,27.9550471603452,0.0838852097130243,0.421834236403773,15.8508223961469,1.06361629540437,0.0391859121011439
IncFII(pSE11),1440,0.763888888888889,18.2638888888889,11.4583333333333,0.5,0.145138888888889,13.4954597222222,42.5694444444444,0.0380356805555556
IncX1,3485,0.54519368723099,16.1262553802009,3.12769010043042,0.359540889526542,0.0499282639885222,23.8976261119082,0.315638450502152,0.0328408952654232
IncQ1,1576,0.444162436548223,81.1548223350254,0,2.82994923857868,0.00444162436548223,9.26502791878172,0,0.0247533312182741
Col156,3309,0.423088546388637,2.47809005741916,18.6158960411,0.0359625264430342,0.201873677848293,6.99093563009973,0,0.0246864792988818
rep16/rep5a,977,0.307062436028659,71.2384851586489,0.204708290685773,0.97338792221085,0.00511770726714432,20.8568567041965,0,0.0194048925281474
IncFIA,3377,0.296120817293456,2.48741486526503,6.54427006218537,0.0387918270654427,0.0846905537459283,20.4658300266509,2.0136215575955,0.0183616316257033
IncFIA(HI1),974,0.205338809034908,18.3778234086242,2.05338809034908,0.397330595482546,0.0246406570841889,12.4015544147844,1.3347022587269,0.0394412833675565
rep16/rep19,1732,0.115473441108545,90.5311778290993,0.0577367205542725,2.41108545034642,0.00173210161662818,15.4636050808314,0,0.0191087413394919
IncR,2922,0.0684462696783025,21.1841204654346,0.342231348391513,0.61772758384668,0.00444900752908967,16.658834017796,0.924024640657084,0.0331688706365503
Col440I,7342,0.0681013347861618,12.9120130754563,0.149822936529556,0.151729773903569,0.00245164805230183,4.09237660038137,0.0544810678289294,0.0284338014165073
IncFIB(K),3292,0.0607533414337789,2.79465370595383,2.82503037667072,0.0683475091130012,0.0352369380315917,16.4646941069259,0.182260024301337,0.0337721081409478
IncX4,1715,0.0583090379008746,15.4518950437318,0,0.199416909620991,0.00174927113702624,27.3862443148688,0,0.0205673702623907
ColRNAI,2943,0,21.5766224940537,1.46109412164458,0.274549779136935,0.0149507305470608,8.65029459734964,50.5606523955148,0.0244598131158682
Col(MG828),2012,0,0.099403578528827,0.646123260437376,0.00248508946322068,0.00646123260437376,2.36832504970179,0,0.027899254473161
rep7a,1356,0,39.3805309734513,0.147492625368732,0.450589970501475,0.00147492625368732,4.48083407079646,0,0.0199178908554572
IncFII(K),1811,0,14.908890115958,0.110436223081171,0.289895085588073,0.00110436223081171,17.5313672004417,26.0629486471563,0.0311912589729431
rep21,1287,0,18.2595182595183,0,0.188034188034188,0,3.36044211344211,0,0.0175775446775447
IncN,1224,0,25.6535947712418,0.0816993464052288,0.644607843137255,0.000816993464052288,13.9538790849673,40.6045751633987,0.030457181372549
IncI2,953,0,5.24658971668416,0.314795383001049,0.074501573976915,0.00524658971668416,24.2389916054565,0,0.0344835991605456
