step,removed,k,selected,cv_AUC_highrisk,cv_AUC_fusion,cv_AUC_conj,cv_AUC_bm,cv_AUC_mean
1,S_HOST,9,S_ARG+S_VF+S_MOB+S_REP+S_SIZE+S_BM+S_GEO+S_HAB+S_GROW,0.956151637740374,0.96504215496543,0.857394472670092,0.904739431587726,0.920831924240905
2,S_GEO,8,S_ARG+S_VF+S_MOB+S_REP+S_SIZE+S_BM+S_HAB+S_GROW,0.956178448576707,0.964989022016071,0.857397476883202,0.90476019664808,0.920831286031015
3,S_HAB,7,S_ARG+S_VF+S_MOB+S_REP+S_SIZE+S_BM+S_GROW,0.956207872092543,0.964922308903721,0.857404730231596,0.904771165251944,0.920826519119951
4,S_GROW,6,S_ARG+S_VF+S_MOB+S_REP+S_SIZE+S_BM,0.956345787963156,0.964445136681891,0.857408540840428,0.90469402990344,0.920723373847229
5,S_REP,5,S_ARG+S_VF+S_MOB+S_SIZE+S_BM,0.956344886672123,0.964484593436792,0.856783121924185,0.904758409084784,0.920592752779471
6,S_VF,4,S_ARG+S_MOB+S_SIZE+S_BM,0.959356468077419,0.945121297420923,0.867601528013577,0.90207945723355,0.918539687686367
7,S_SIZE,3,S_ARG+S_MOB+S_BM,0.961707127076692,0.940827758266229,0.860577553042767,0.886507244298372,0.912404920671015
8,S_BM,2,S_ARG+S_MOB,0.975359950413675,0.927479785038622,0.883223287941444,0.651839620703664,0.859475661024351
9,S_MOB,1,S_ARG,0.980585619246139,0.933424203881692,0.555990373908814,0.601124276873158,0.767781118477451
