feature,Estimate,Std.Error,z,p,OR,OR_low,OR_high,sig
(Intercept),-6.41503802681974,0.458894379512565,-13.979334490071,2.084278905164e-44,0.0016367576662658,0.000665833438753128,0.0040234922161564,***
S_ARG,10.4942316049955,0.202548085736122,51.81106287357,0,36106.623537911,24275.851188502,53703.0917344684,***
S_VF,-3.8944409866614,0.379865654672111,-10.2521534620522,1.15735819835215e-24,0.0203547498460329,0.00966757603193902,0.0428562278616472,***
S_MOB,0.163992878219838,0.118418929299634,1.38485358033333,0.166097243462862,1.17820592413927,0.934159370383128,1.48600896558745,ns
S_HOST,2.40794383317476,0.435749125865705,5.5259866061484,3.27639127721664e-08,11.1110913836052,4.729765132829,26.1020047016547,***
S_REP,-1.21996396905609,0.108287275376788,-11.2659956103909,1.93156297590803e-29,0.295240804537241,0.23878134296704,0.365050014296256,***
S_SIZE,-7.15880905291732,0.550388886898792,-13.0068197656646,1.11902984801502e-38,0.000777980535359238,0.000264525931641523,0.00228806948960327,***
S_BM,0.267338055944648,0.1255345308928,2.12959776121632,0.0332048360525784,1.30648203570424,1.02151863245171,1.6709389876925,*
S_GEO,-0.437740754505199,0.20559257045364,-2.12916621227763,0.0332405112526456,0.645493102346654,0.431407485904436,0.965818533036316,*
S_HAB,-0.154726454575889,0.257265521323196,-0.601427092834218,0.547555558006559,0.856649477981007,0.517385581743105,1.41837800282866,ns
S_GROW,0.316487020518231,0.179215262583054,1.76596019756722,0.0774025267025913,1.37229843039816,0.965822804157543,1.94984315338871,ns
