feature,MDG_highrisk,MDG_mdrvf,MDG_conj,MDG_highrisk_norm,MDG_mdrvf_norm,MDG_conj_norm,final_weight,final_weight_norm,mean_MDG_norm
S_ARG,5042.27370951673,1363.31035760175,45.904470740077,0.854931201009765,0.455678647719341,0.00248590734321292,0.2448,0.244775522447755,0.43769858535744
S_MOB,226.313817671399,63.5034970008783,16728.0405184039,0.0383721223982223,0.0212256787146501,0.905889079905201,0.2041,0.204079592040796,0.321828960339358
S_VF,8.1723306701035,1047.49538420482,16.5698519255912,0.0013856408591334,0.350119308861101,0.000897322546446786,0.1096,0.10958904109589,0.117467424088894
S_HOST,46.5015620689416,299.395576931233,63.8515542058359,0.00788446613546505,0.100071250004417,0.00345781238552144,0.0282,0.0281971802819718,0.0371378428418012
S_SIZE,272.38155841129,57.6568763919177,435.199556041544,0.046183032949196,0.0192714793953507,0.0235677648535037,0.1808,0.180781921807819,0.0296740923993501
S_REP,78.9292086178494,55.7455477318806,704.988131780447,0.0133826616732545,0.0186326287812579,0.0381778756059356,0.003,0.002999700029997,0.0233977220201493
S_BM,100.656821386115,67.4099877363792,248.974180033645,0.0170666374249058,0.022531400779883,0.0134829294933075,0.2112,0.211178882111789,0.0176936558993654
S_GROW,51.0345070372246,13.0078030052355,74.7036539242432,0.00865303926518846,0.00434778335701371,0.00404549619810737,0.0147,0.0146985301469853,0.00568210627343652
S_HAB,36.6136393596579,13.0146709345394,83.3128896964703,0.00620794198696739,0.00435007892289156,0.00451172012097565,0.0022,0.0021997800219978,0.0050232470102782
S_GEO,34.9935786732322,11.2843929741962,64.3368221055625,0.00593325629790206,0.00377174346409351,0.00348409154778837,0.0015,0.0014998500149985,0.00439636376992798
