replicon_primary,N,pct,fus_rate
Col156,16,1.01137800252844,0.363553737786867
IncB/O/K/Z,32,2.02275600505689,1.64778578784758
IncFIA,10,0.632111251580278,0.242424242424242
IncFIB(AP001918),44,2.78128950695322,0.72775388686735
IncFIC(FII),35,2.21238938053097,1.4687368862778
IncFII,396,25.031605562579,5.24990057006496
IncFII(29),14,0.88495575221239,0.937709310113865
IncFII(S),11,0.695322376738306,0.766550522648084
IncFII(pCoo),28,1.76991150442478,1.3738959764475
IncFII(pHN7A8),40,2.52844500632111,2.69541778975741
IncFII(pRSB107),17,1.07458912768647,1.09465550547328
IncFII(pSE11),11,0.695322376738306,0.578034682080925
IncI1,504,31.858407079646,8.11724915445321
IncQ1,7,0.442477876106195,0.344149459193707
IncX1,20,1.26422250316056,0.432900432900433
rep20,304,19.2161820480405,18.2144997004194
rep20/rep21,11,0.695322376738306,3.06406685236769
rep20/rep7a,10,0.632111251580278,35.7142857142857
rep9b,8,0.505689001264222,3.50877192982456
repUS43,64,4.04551201011378,13.1958762886598
