bm_weight,spearman,top10_overlap,top20_overlap
0,0.894992666340726,7,14
0.02,0.91558380372461,8,14
0.04,0.93251966754078,8,14
0.06,0.947453664607316,9,16
0.08,0.961505844704209,9,16
0.1,0.974043290812925,9,16
0.12,0.982594781990311,9,17
0.14,0.989759544868661,10,18
0.16,0.994915329570203,10,18
0.18,0.997919907551447,10,19
0.2,0.999665762922797,10,19
0.22,0.999779545757589,9,20
0.24,0.998431930308014,9,20
0.26,0.996038935063781,8,19
0.28,0.992401440064003,8,17
0.3,0.987110538246144,7,17
